time,rssi_rec,rssi_send,rssi_eve_rec,rssi_eve_send
492014783,-49,-54,-48,-41
492040074,-50,-55,-48,-41
492055786,-53,-57,-51,-41
492074814,-61,-66,-51,-39
492094805,-65,-69,-54,-41
492115161,-56,-60,-55,-38
492134821,-52,-56,-55,-40
492155389,-50,-53,-53,-40
492175812,-47,-51,-56,-40
492194815,-47,-50,-59,-39
492214834,-47,-52,-60,-38
492234804,-48,-52,-61,-39
492254798,-48,-52,-57,-40
492274818,-47,-52,-54,-40
492294800,-48,-51,-55,-41
492314817,-47,-50,-54,-40
492336822,-46,-50,-57,-40
492354800,-47,-49,-59,-40
492374772,-45,-49,-59,-40
492395146,-47,-50,-57,-39
492414798,-46,-51,-56,-40
492434795,-47,-51,-55,-41
492454841,-48,-53,-55,-40
492475633,-48,-53,-54,-40
492496349,-47,-53,-54,-40
492516612,-48,-52,-53,-40
492535348,-48,-53,-52,-40
492558561,-48,-53,-53,-40
492574775,-48,-54,-52,-40
492594806,-49,-53,-52,-40
492614922,-49,-54,-51,-39
492634807,-49,-54,-51,-39
492654780,-50,-55,-51,-40
492674788,-50,-55,-52,-40
492694781,-49,-55,-51,-40
492714864,-51,-55,-53,-41
492734774,-51,-56,-53,-39
492754983,-52,-57,-52,-41
492774795,-54,-58,-51,-40
492795276,-53,-58,-52,-41
492814763,-53,-57,-50,-40
492834799,-51,-56,-51,-39
492854792,-50,-55,-52,-40
492874776,-51,-56,-51,-40
492894789,-51,-56,-52,-41
492914897,-54,-57,-53,-41
492935301,-51,-56,-55,-40
492955147,-52,-58,-55,-40
492975129,-53,-58,-59,-40
492998651,-54,-57,-60,-40
493017437,-50,-54,-60,-41
493034786,-48,-53,-57,-39
493055450,-47,-52,-56,-40
493074802,-46,-51,-55,-40
493094852,-45,-51,-55,-40
493115159,-45,-51,-59,-41
493135587,-46,-51,-62,-40
493154897,-46,-52,-58,-41
493174792,-47,-52,-54,-41
493194777,-46,-53,-51,-41
493214791,-49,-54,-51,-39
493235277,-51,-56,-51,-41
493254766,-51,-56,-50,-39
493274775,-50,-55,-50,-39
493296022,-49,-55,-50,-41
493317262,-48,-52,-50,-40
493335821,-48,-53,-49,-39
493354783,-49,-54,-48,-39
493374768,-49,-54,-48,-41
493396722,-46,-51,-48,-40
493419682,-45,-50,-49,-41
493435079,-44,-50,-50,-41
493454756,-45,-50,-49,-39
493476281,-46,-51,-49,-40
493494839,-48,-53,-49,-40
493524011,-54,-59,-49,-40
493534777,-54,-60,-50,-40
493557378,-54,-60,-49,-40
493574762,-55,-61,-49,-39
493594777,-53,-57,-49,-39
493614940,-49,-53,-49,-41
493634777,-46,-51,-48,-41
493657548,-46,-51,-48,-40
493676276,-46,-51,-48,-40
493695595,-49,-54,-48,-39
493714791,-50,-54,-48,-39
493735031,-47,-52,-48,-40
493754798,-45,-49,-47,-39
493774776,-42,-48,-47,-40
493796624,-41,-47,-47,-41
493814782,-38,-47,-47,-38
493836016,-42,-48,-47,-39
493862572,-46,-50,-48,-39
493874803,-46,-51,-48,-40
493896500,-42,-49,-49,-40
493914780,-42,-48,-49,-41
493934769,-39,-47,-49,-40
493956356,-41,-46,-49,-40
493974868,-42,-49,-52,-39
493994909,-43,-49,-55,-40
494014768,-46,-52,-55,-39
494035688,-47,-51,-51,-41
494054760,-46,-50,-50,-41
494074828,-45,-51,-48,-41
494094772,-45,-50,-50,-39
494115137,-46,-50,-50,-41
494134804,-48,-51,-52,-40
494155013,-50,-53,-52,-40
494174767,-52,-58,-51,-41
494194769,-52,-56,-50,-39
494214761,-49,-53,-51,-39
494236043,-48,-54,-54,-39
494257402,-45,-51,-57,-40
494276135,-44,-50,-58,-41
494294762,-43,-48,-55,-41
494314853,-43,-48,-51,-41
494339496,-44,-50,-52,-41
494355787,-45,-51,-54,-39
494376436,-46,-51,-59,-41
494394784,-46,-50,-61,-40
494414746,-46,-52,-62,-41
494437782,-48,-52,-59,-40
494454788,-48,-53,-56,-41
494474794,-47,-52,-56,-41
494494766,-48,-52,-55,-40
494514824,-48,-53,-54,-39
494534744,-49,-54,-51,-40
494554755,-48,-52,-50,-39
494574766,-47,-52,-52,-40
494597187,-48,-53,-55,-40
494618384,-47,-51,-57,-40
494634790,-47,-50,-59,-41
494655217,-45,-51,-58,-40
494674789,-45,-51,-58,-41
494694758,-47,-52,-56,-40
494714770,-47,-52,-56,-40
494735307,-49,-55,-57,-40
494756590,-52,-58,-57,-40
494777446,-56,-62,-58,-40
494794758,-58,-62,-56,-41
494814753,-55,-61,-55,-41
494836835,-53,-58,-54,-42
494854765,-51,-56,-55,-40
494874778,-50,-55,-55,-40
494896500,-50,-55,-55,-41
494914801,-50,-56,-55,-40
494934759,-51,-57,-56,-40
494955032,-53,-58,-56,-40
494974808,-53,-58,-55,-40
494994756,-54,-60,-56,-40
495014758,-56,-62,-55,-41
495036862,-60,-65,-55,-41
495055300,-62,-66,-54,-40
495076718,-60,-66,-54,-40
495100194,-58,-62,-53,-40
495115112,-57,-62,-52,-40
495134728,-59,-65,-52,-40
495158262,-61,-63,-52,-39
495179038,-54,-58,-53,-39
495194756,-50,-55,-54,-39
495214721,-47,-52,-55,-39
495236428,-45,-50,-57,-40
495254871,-45,-48,-58,-40
495275651,-44,-51,-59,-40
495294811,-45,-50,-59,-41
495314972,-46,-51,-57,-40
495334768,-44,-51,-57,-39
495354841,-44,-50,-57,-41
495375131,-44,-51,-57,-41
495395001,-44,-49,-57,-39
495414807,-44,-50,-56,-40
495435626,-44,-51,-56,-41
495454681,-46,-52,-55,-40
495474861,-48,-54,-54,-42
495497543,-50,-56,-56,-39
495515732,-54,-60,-58,-42
495535100,-59,-65,-58,-42
495554909,-73,-80,-58,-40
495574706,-66,-70,-58,-40
495594743,-61,-66,-58,-39
495615560,-59,-64,-56,-40
495634754,-57,-63,-55,-40
495654726,-58,-63,-55,-40
495675005,-58,-62,-53,-39
495694725,-60,-65,-53,-39
495716810,-61,-66,-52,-41
495735142,-62,-67,-53,-40
495754742,-64,-70,-52,-39
495774760,-64,-67,-53,-40
495795147,-60,-65,-55,-39
495814758,-58,-63,-55,-41
495835223,-56,-61,-57,-40
495855932,-58,-62,-59,-39
495876660,-60,-65,-58,-40
495895837,-62,-65,-59,-40
495914760,-58,-64,-59,-40
495935600,-55,-60,-59,-41
495958491,-54,-59,-60,-39
495979343,-54,-60,-62,-40
495994749,-55,-61,-66,-40
496014729,-61,-65,-67,-40
496037051,-55,-58,-64,-39
496054794,-51,-57,-64,-41
496075754,-50,-56,-62,-39
496094750,-50,-56,-61,-39
496116247,-51,-56,-62,-39
496134756,-52,-58,-61,-41
496155621,-54,-59,-63,-40
496178706,-55,-61,-62,-42
496194960,-56,-61,-65,-40
496214731,-56,-62,-67,-39
496234863,-55,-57,-66,-41
