time,rssi_rec,rssi_send,rssi_eve_rec,rssi_eve_send
500455976,-33,-41,-47,-34
500476149,-31,-40,-48,-33
500495865,-32,-40,-48,-34
500517592,-32,-39,-50,-33
500535837,-33,-39,-53,-33
500557304,-31,-41,-55,-34
500575859,-33,-40,-53,-35
500595947,-35,-43,-52,-34
500615980,-36,-44,-51,-35
500636594,-38,-45,-50,-34
500655866,-38,-45,-51,-35
500675866,-37,-44,-52,-33
500695848,-39,-44,-53,-35
500716672,-37,-44,-52,-35
500735860,-38,-43,-53,-33
500756263,-35,-43,-52,-33
500779544,-36,-42,-52,-33
500795887,-34,-42,-53,-34
500815841,-34,-42,-53,-34
500836123,-34,-42,-51,-34
500855914,-36,-42,-52,-35
500876572,-35,-42,-54,-34
500896265,-35,-43,-53,-33
500916485,-36,-43,-54,-33
500935850,-36,-43,-53,-33
500955861,-36,-43,-53,-34
500975831,-36,-43,-53,-35
500995880,-36,-43,-54,-33
501015848,-37,-43,-54,-35
501035904,-36,-43,-55,-35
501055995,-37,-43,-55,-35
501075853,-35,-44,-54,-35
501096322,-35,-43,-55,-33
501115926,-37,-44,-53,-33
501138402,-36,-44,-55,-33
501155856,-36,-43,-54,-35
501175862,-37,-42,-55,-33
501197776,-35,-43,-54,-34
501217661,-35,-42,-53,-33
501240685,-36,-42,-54,-33
501255858,-37,-44,-54,-35
501275847,-35,-43,-53,-34
501295861,-34,-44,-54,-34
501316087,-37,-43,-54,-35
501338854,-37,-43,-53,-33
501355893,-36,-43,-53,-33
501375883,-35,-43,-52,-35
501395845,-35,-43,-52,-34
501416803,-36,-44,-51,-33
501435861,-35,-43,-51,-32
501455827,-36,-43,-51,-33
501475849,-36,-44,-51,-33
501495842,-36,-43,-52,-35
501515847,-36,-44,-50,-34
501535825,-38,-45,-51,-34
501556200,-36,-44,-50,-35
501575959,-39,-45,-52,-34
501596624,-38,-44,-50,-34
501615901,-38,-46,-50,-35
501635868,-39,-45,-50,-35
501655839,-39,-44,-50,-33
501677877,-37,-45,-51,-33
501695844,-37,-45,-50,-35
501715844,-38,-44,-50,-35
501735839,-39,-45,-49,-34
501755860,-39,-45,-50,-34
501775830,-38,-46,-50,-33
501795845,-37,-45,-50,-33
501818187,-40,-47,-51,-35
501844964,-37,-44,-50,-34
501856289,-37,-46,-51,-35
501878028,-39,-46,-50,-34
501895828,-38,-47,-52,-35
501915839,-40,-45,-50,-32
501935828,-39,-46,-51,-34
501957961,-36,-45,-52,-33
501975818,-38,-46,-52,-35
501995950,-38,-46,-51,-34
502015840,-39,-46,-50,-33
502036882,-39,-46,-51,-33
502055983,-39,-47,-52,-34
502075837,-38,-46,-52,-33
502095829,-40,-46,-52,-35
502115855,-37,-46,-52,-34
502135922,-39,-46,-52,-35
502156004,-38,-44,-52,-34
502175851,-37,-45,-53,-34
502195857,-38,-44,-52,-34
502215834,-39,-45,-51,-34
502236770,-40,-45,-52,-34
502258406,-39,-44,-53,-35
502275866,-35,-45,-52,-34
502295830,-37,-44,-52,-35
502315844,-36,-44,-53,-34
502335930,-39,-46,-52,-34
502355866,-39,-44,-53,-34
502375850,-37,-44,-53,-33
502395896,-38,-44,-53,-33
502415812,-39,-45,-52,-34
502435835,-38,-44,-52,-34
502455822,-37,-46,-51,-35
502475940,-39,-45,-51,-34
502497078,-36,-45,-51,-35
502517156,-37,-45,-52,-34
502539073,-39,-46,-51,-35
502556299,-39,-45,-51,-35
502575857,-36,-44,-51,-33
502595858,-37,-45,-52,-33
502615841,-39,-44,-51,-35
502635866,-39,-45,-51,-33
502657035,-39,-44,-52,-35
502676436,-36,-45,-51,-34
502697322,-38,-45,-50,-33
502715849,-38,-43,-50,-34
502736620,-37,-43,-51,-35
502755824,-37,-43,-50,-34
502777566,-35,-43,-50,-34
502795846,-37,-43,-48,-34
502815834,-36,-43,-50,-34
502835836,-38,-44,-50,-34
502856055,-35,-44,-48,-34
502875854,-35,-44,-50,-34
502895885,-36,-44,-49,-35
502915858,-36,-44,-49,-33
502935829,-35,-43,-48,-35
502955863,-35,-44,-49,-35
502975833,-36,-43,-50,-34
503000657,-36,-44,-50,-35
503015841,-35,-41,-49,-35
503035827,-36,-42,-50,-35
503060846,-36,-43,-49,-33
503078737,-35,-43,-50,-35
503095808,-35,-43,-50,-33
503115852,-34,-43,-49,-35
503137866,-35,-41,-51,-35
503155917,-34,-43,-50,-35
503177117,-35,-42,-50,-35
503195839,-35,-43,-51,-34
503215814,-35,-43,-50,-34
503235820,-34,-41,-50,-33
503255829,-34,-42,-52,-35
503276054,-33,-41,-51,-34
503297775,-34,-42,-50,-34
503316295,-35,-41,-51,-33
503336342,-33,-41,-50,-34
503355840,-33,-41,-51,-34
503375810,-33,-41,-49,-35
503395864,-32,-40,-50,-34
503415863,-33,-42,-50,-35
503435819,-33,-40,-48,-33
503455813,-31,-39,-51,-35
503477079,-31,-40,-50,-35
503495834,-32,-38,-50,-35
503515838,-34,-41,-49,-33
503536203,-33,-40,-51,-35
503556195,-33,-41,-51,-34
503575843,-33,-41,-47,-34
503595849,-33,-39,-48,-35
503615801,-34,-41,-49,-33
503636114,-33,-40,-50,-34
503655847,-33,-40,-50,-34
503675938,-32,-40,-50,-33
503695823,-32,-38,-51,-35
503715835,-32,-41,-48,-35
503735802,-32,-41,-48,-33
503761319,-32,-42,-49,-35
503777655,-32,-40,-50,-34
503795825,-31,-40,-52,-33
503815814,-31,-40,-50,-35
503835826,-32,-40,-49,-34
503857701,-31,-39,-50,-36
503876694,-32,-40,-51,-34
503896778,-33,-41,-49,-35
503916081,-33,-41,-49,-35
503935868,-33,-41,-49,-35
503955825,-33,-41,-50,-35
503975814,-32,-42,-49,-36
503995838,-34,-41,-48,-35
